SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
500002,ABB India Limited,Active,A,2.00,INE117A01022,Heavy Electrical Equipment,ABB,Equity,https://www.bseindia.com/stock-share-price/abb-india-limited/abb/500002/,ABB India Limited,78806.61
500003,AEGIS LOGISTICS LTD.,Active,A,1.00,INE208C01025,Trading - Gas,AEGISLOG,Equity,https://www.bseindia.com/stock-share-price/aegis-logistics-ltd/aegislog/500003/,Aegis Logistics Ltd.,13845.20
500008,AMARA RAJA BATTERIES LTD.,Active,A,1.00,INE885A01032,Auto Components & Equipments,AMARAJABAT,Equity,https://www.bseindia.com/stock-share-price/amara-raja-batteries-ltd/amarajabat/500008/,Amara Raja Batteries Ltd,10431.52
500009,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X,10.00,INE432A01017,Pharmaceuticals,AMBALALSA,Equity,https://www.bseindia.com/stock-share-price/ambalal-sarabhai-enterprises-ltd/ambalalsa/500009/,"Ambalal Sarabhai Enterprise Ltd.,",168.82
500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A,2.00,INE001A01036,Housing Finance Company,HDFC,Equity,https://www.bseindia.com/stock-share-price/housing-development-finance-corpltd/hdfc/500010/,Housing Development Finance Corp.Lt,495541.41
500012,ANDHRA PETROCHEMICALS LTD.,Active,X,10.00,INE714B01016,Commodity Chemicals,ANDHRAPET,Equity,https://www.bseindia.com/stock-share-price/andhra-petrochemicals-ltd/andhrapet/500012/,"Andhra Petrochemicals Ltd.,",539.06
500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,T,5.00,INE436A01026,Residential- Commercial Projects,ANSALAPI,Equity,https://www.bseindia.com/stock-share-price/ansal-properties--infrastructure-ltd/ansalapi/500013/,Ansal Properties & Infrastructure Ltd.,174.24
500014,Utique Enterprises Ltd,Active,X,10.00,INE096A01010,Precious Metals,UTIQUE,Equity,https://www.bseindia.com/stock-share-price/utique-enterprises-ltd/utique/500014/,UTIQUE ENTERPRISES LIMITED,27.89
500016,ARUNA HOTELS LTD.,Active,XT,10.00,INE957C01019,Hotels & Resorts,ARUNAHTEL,Equity,https://www.bseindia.com/stock-share-price/aruna-hotels-ltd/arunahtel/500016/,Aruna Hotels Ltd.,64.31
500020,BOMBAY DYEING & MFG.CO.LTD.,Active,B,2.00,INE032A01023,Other Textile Products,BOMDYEING,Equity,https://www.bseindia.com/stock-share-price/bombay-dyeing--mfgcoltd/bomdyeing/500020/,"Bombay Dyeing & Mfg. Co. Ltd.,",1682.23
500023,Asian Hotels (North) Limited,Active,T,10.00,INE363A01022,Hotels & Resorts,ASIANHOTNR,Equity,https://www.bseindia.com/stock-share-price/asian-hotels-(north)-limited/asianhotnr/500023/,Asian Hotels (North) Limited,304.54
500027,ATUL LTD.,Active,A,10.00,INE100A01010,Specialty Chemicals,ATUL,Equity,https://www.bseindia.com/stock-share-price/atul-ltd/atul/500027/,"Atul Limited.,",19891.82
500028,ATV PROJECTS INDIA LTD.,Active,XT,10.00,INE447A01015,Industrial Products,ATVPR,Equity,https://www.bseindia.com/stock-share-price/atv-projects-india-ltd/atvpr/500028/,ATV Projects India Ltd,41.43
500031,BAJAJ ELECTRICALS LTD.-$,Active,A,2.00,INE193E01025,Household Appliances,BAJAJELEC,Equity,https://www.bseindia.com/stock-share-price/bajaj-electricals-ltd/bajajelec/500031/,"Bajaj Electricals Ltd.,",13334.39
500032,Bajaj Hindusthan Sugar Limited,Active,A,1.00,INE306A01021,Sugar,BAJAJHIND,Equity,https://www.bseindia.com/stock-share-price/bajaj-hindusthan-sugar-limited/bajajhind/500032/,Bajaj Hindusthan Sugar Limited,1849.62
